Award Name,Organization,Purpose,Level Of Study,Award Type,Award Amount,Deadline
Sheri Stears Education Scholarship,University of Alaska Anchorage,To provide tuition and other related assistance to students in preservice teacher education programs at UAA. Preservice teacher education programs include undergraduate degree programs in elementary and early childhood education.,Bachelor's Degree,Scholarship,N/A,August
Shred Nations Scholarship,Shred Nations,To promote education in the shredding and secure destruction industries.,"Bachelor's Degree
Graduate Degree",Scholarship,"$7,500",August
Sierra Woodward Sibling Scholarship,Cystinosis Research Network,To support siblings of people with cystinosis who are pursuing postsecondary education.,"Bachelor's Degree
Vocational",Scholarship,"$1,000",August
Smithsonian Fellowships in Museum Practice,Smithsonian Office of Educational Technology,"To help learners of all ages discover the Learning Lab's digital images, recordings, texts, and lesson plans regardless of a user's physical proximity to these assets.","Graduate Degree
Professional Development",Fellowship,"$3,500",August
Sodowsky Law Firm Scholarship,"Sodowsky Law Firm, PC.",To provide an U.S. college student who creates the best video essay.,Bachelor's Degree,Scholarship,"$1,000",August
Soroptimist International of Sequim Continuing Education Scholarship,Soroptimist International of Sequim,To enable girls and women to complete their education and achieve economic empowerment.,"Graduate Degree
Professional Development
Vocational",Scholarship,"$750
$2,000",August
SPOOM Research Grants,Society for the Preservation of Old Mills,To provide financial assistance to researches on mills or milling-related subjects.,Graduate Degree,Grant,N/A,August
Strong Roots Scholarship,Richmond Defense Group,To assist students and celebrate the importance of having a strong community.,Bachelor's Degree,Scholarship,$500,August
Strong Roots Scholarship,Richmond Defense Group,"As day-to-day life becomes increasingly digital and experiences become increasingly “remote,” discussion about what it takes to build healthy communities becomes more and more important. We are proud to sponsor the Strong Roots Scholarship and Essay Contest as a way to promote discussion about the meaning of community in the digital age and as a way to sponsor educational opportunities for individuals who are dedicated to building strong communities where passions and careers can take root.","Associate Degree
Bachelor's Degree
Graduate Degree
High School
Vocational",Scholarship,$500,August
Students with Disabilities Scholarship,"The Platta Law Firm, PLLC","Growing up with a disability comes with ample challenges that can beset one's dreams of attaining a higher education. The Platta Law Firm represents everyday workers that develop disabilities as a result of unfortunate accidents. A disability can take away a worker's faculty to provide for their family, let alone pay for their child's college tuition. That is why we are awarding a $5,000 scholarship to make someone's journey through school a little easier.","Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,"$5,000",August
Susan R. Meisinger Fellowship for Graduate Study in HR,Society for Human Resource Management,To support master’s degree students who are either members of SHRM or certified HR professionals.,"Graduate Degree
Professional Development",Fellowship,"$20,000",August
TCA Outstanding Graduate Student Award,Texas Counseling Association,To support graduate students who are showing dedication and academic excellence in the theory and practice of some significant area of counseling and exhibiting outstanding scholarships.,Graduate Degree,Prize,N/A,August
The ASG Scholar Award,American Society of Genealogists,To recognize talent and build genealogical expertise by providing promising genealogists the opportunity to receive advanced academic training in genealogy and to provide financial assistance for a developing scholar to attend one of six academic programs in American genealogy.,Professional Development,Prize,"$1,000",August
The Bruce Clement Post-Secondary Education Scholarship,New Hampshire Sheep and Wool Growers Association,To financially assist students who are pursuing an education related to the sheep industry.,Bachelor's Degree,Scholarship,"$1,000",August
The Callahan Law Firm Scholarship,The Callahan Law Firm,"To rewards students who are ambitious, want to contribute to the betterment of society and serve as an example to others.","Bachelor's Degree
High School",Scholarship,"$1,500",August
The Harry Frank Guggenheim Distinguished Scholar Awards,Harry Frank Guggenheim Foundation,To support research that can increase understanding and amelioration of urgent problems of violence and aggression in the modern world.,"Graduate Degree
Professional Development",Grant,"$15,000
$40,000",August
The HotelPlanner.com Graduate Technology Scholarship For Military,HotelPlanner.com,To provide financial assistance to veterans of the United States military and their dependents who are pursuing an undergraduate or graduate degree related to technology.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",August
The LasikPlus My Vision Essay Scholarship,LasikPlus,To offer scholarship opportunities to recognize outstanding college students who serve their communities and to help them reach their academic goals.,Graduate Degree,Scholarship,"$2,500",August
The Law Offices of Sean M. Cleary Scholarship,The Law Offices of Sean M. Cleary,"To support a student who will help raise awareness on the deadly effects of teen DUI, and to provide financial assistance to students in their pursuit of higher education.",Bachelor's Degree,Scholarship,"$1,000",August
The Lozano Law Firm Scholarship Contest,Lozano Law Firm,To provide financial aid to college students and encourage students to understand their personal motivation for a career in the legal field. Also seeks to inspire students to purse a career in law and to highlight the positive impact immigration has on communities and career paths.,Bachelor's Degree,Scholarship,"$1,000",August
The Newberry Library Short-Term Residential Fellowships for,Newberry Library,To provide assistance to researchers who wish to use the Newberry Library's collections.,"Graduate Degree
Professional Development",Fellowship,"$2,500",August
The Speakeasy Scholarship Program,Speakeasy,To provide financial assistance to deserving students in their pursuit of higher education,"Associate Degree
Bachelor's Degree
Graduate Degree
Professional Development",Scholarship,"$1,000",August
The Sure Oak Scholarship,Sure Oak,To help students achieve their goals.,Bachelor's Degree,Scholarship,"$1,000",August
"Therese A. ""Teri"" Cannon Educational Scholarship",International Practice Management Association,To recognize her commitment to the education of paralegal and practice management professionals. Scholarship was designed to assist members in furthering their professional development and network.,N/A,Scholarship,N/A,August
Thomas R. McGetchin Memorial Scholarship Award,Universities Space Research Association,To support students who have shown a career interest in science or engineering with an emphasis on space research or space science education.,Bachelor's Degree,Scholarship,"$5,000",August
Tom Babcox Memorial Scholarships,Auto Care Association,To support continuing education tailored specifically for the business needs of the automotive service industry.,Professional Development,Scholarship,N/A,August
Turco Munoz Domestic Violence Survivor Scholarship,Turco Legal,To help the cause by supporting the education of those who intend to professionally help with the domestic violence crisis.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",August
Ultimate Home Life Scholarship,Ultimate Home Life,"To assist undergraduate college and university students who are interested in dog related training, behavior, nutrition, and general information.",Bachelor's Degree,Scholarship,$500,August
Union of Marash Armenian Student Fund Scholarship,Union of Marash Armenian Student Fund,"To promote the education of Armenian students by granting scholarships to any Armenian or any descendant of an Armenian, and to encourage the educational, cultural, and athletic endeavors of Armenian Youth.","Bachelor's Degree
Graduate Degree",Scholarship,N/A,August
United Auburn Indian Community Scholarship Program,United Auburn Indian Community (UAIC),"The United Auburn Indian Community's (UAIC) Community Giving Committee established its Native American Scholarship Program to support the educational aspirations of other Indigenous Americans in the Sacramento, California area by giving scholarships to selected Native Americans enrolled in higher education programs.","Associate Degree
Bachelor's Degree
Graduate Degree
Professional Development
Vocational",Scholarship,"$5,000",August
United Engineering Foundation Grants,United Engineering Foundation,To support engineering and education.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Grant,N/A,August
Vision Tech Camps Scholarship,Vision Tech Camps,To provide for students who are currently attending high school or full-time college students in the United States.,Associate Degree,Scholarship,"$500
$1,000",August
William M. Fanning Maintenance Scholarship,National Business Aviation Association,To promote professional development and business aviation careers.,Bachelor's Degree,Scholarship,"$2,500",August
William R. Gard Memorial Scholarships,National Association of Music Merchants,To encourage students to pursue education and careers in the music products industry.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,000",August
Yamhill County Farm Bureau Scholarships,Oregon Farm Bureau,To assist Yamhill County high school graduates in pursuit of furthering their education.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$2,000",August
"$2,500 College Raptor Scholarship",College Raptor,To help students with college expenses.,Bachelor's Degree,Scholarship,"$2,500",September
AAACN Conference Scholarship for Nursing Students,American Academy of Ambulatory Care Nursing,"To supports the advancement of ambulatory nurses and nursing practice through the provision of excellence, scholarship, and/or research awards to qualified applicants.",N/A,Scholarship,"$1,000",September
AAACN Education Scholarship,American Academy of Ambulatory Care Nursing,"To assist students with their tuition, books, and academic supplies to pursue advanced nursing education.","Graduate Degree
Professional Development",Scholarship,"$1,000",September
AAACN Research/Evidence Based Practice Project Awards,American Academy of Ambulatory Care Nursing,To assist individuals who are conducting either nursing research or EBP projects.,Bachelor's Degree,"Grant
Scholarship","$1,000",September
AABB-Fenwal Transfusion Medicine Fellows Scholarship Awards,American Association of Blood Banks,To recognize professionals with a Doctor of Medicine or Doctor of Osteopathic Medicine degree who are current fellows in a transfusion medicine program or training program that includes at least one continuous year in transfusion medicine training.,Graduate Degree,Scholarship,"$1,500",September
AAN Clinical Research Training Scholarship,American Academy of Neurology,To recognize the importance of good clinical research and to encourage young investigators in clinical studies.,N/A,Scholarship,"$10,000
$65,000",September
AASA Educational Administration Scholarship,"AASA, The School Superintendents Association","To provide incentive, honor and financial assistance for outstanding graduate students in school administration intending to make school super intendancy a career.",Bachelor's Degree,Scholarship,N/A,September
Abba P. Schwartz Research Fellowship,John F. Kennedy Presidential Library and Museum,"To support a scholar in the production of a substantial work in the areas of immigration, naturalization, or refugee policy, subjects of great personal and professional interest to Mr. Schwartz.",N/A,Fellowship,"$3,100",September
ACHE Junior and Community College Performing Arts Scholarship Program,Alabama Commission on Higher Education,To support the education of Alabama students though defraying their expenses.,Bachelor's Degree,Scholarship,N/A,September
ACLS Collaborative Research Fellowships,American Council of Learned Societies,"To offer small teams of two or more scholars the opportunity to collaborate intensively on a single, substantive project.",Graduate Degree,Fellowship,"$201,000",September
ACS Resident Research Scholarships,American College of Surgeons Professional Association,To encourage residents to pursue careers in academic surgery.,Professional Development,Scholarship,"$30,000",September
AF Junior Research Grant,Amyloidosis Foundation,To support research for all types of amyloidosis being conducted by junior investigators.,Professional Development,Grant,N/A,September
AFA Theatre & Performance Art Project Grants,Alberta Foundation for the Arts,"To support the development of individual Alberta artists, arts administrators or an ensemble of artist by providing a grant for a specific theatre and/or performance art project in a limited time period.",Professional Development,Grant,"$15,000",September
AIChE Minority Scholarship Awards for College Students,American Institute of Chemical Engineers,To provide to AIChE undergraduate student members.,Bachelor's Degree,Scholarship,"$1,000",September
AIChE Minority Scholarship Awards for Incoming College Freshmen,American Institute of Chemical Engineers,To recognize outstanding achievements and contributions spanning chemical engineering and its many specializations.,High School,Scholarship,"$1,000",September
Allegheny County Medical Society Medical Student Scholarship,Foundation of the Pennsylvania Medical Society,To assist local students with the cost of attending a Pennsylvania medical school.,Professional Development,Scholarship,"$4,000",September
Allmand Law Scholarship Contest,Allmand Law,"To provide financial aid to college student, encourage students to understand how bankruptcy relief helps small businesses, and inspire students to pursue a career in any legal field.",Bachelor's Degree,Scholarship,"$1,000",September
Alma H. Young Emerging Scholar Award,Urban Affairs Association,To honor and support emerging scholars whose work exemplifies outstanding scholarship in urban affairs.,"Graduate Degree
Professional Development",Prize,"$1,000",September
American Association for Hand Surgery Annual Research Awards,American Association for Hand Surgery,To foster creativity and innovation in basic and/or clinical research in all areas pertinent to hand surgery.,Professional Development,Grant,"$10,000",September
American Association of Plastic Surgeons Academic Scholar Program,American Association of Plastic Surgeons,To assist surgeons in establishing a new and independent research program.,Graduate Degree,Scholarship,"$30,000",September
ANF/ANN-FNRE Nursing Research Grants,American Nurses Foundation,"To support scientific research for advancing the practice of nursing, promoting health and preventing disease.",Professional Development,Grant,"$5,000",September
Anthony R. Dees Educational Workshop Scholarship,Society of Georgia Archivists,To provide funding to attend the SGA-sponsored Pre-Conference Workshop.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,September
ArLA Scholarship,Arkansas Library Association,To encourage a higher standard of professional education for libraries in Arkansas by awarding scholarships and soliciting contributions to the scholarship fund.,Graduate Degree,Scholarship,N/A,September
Arthur M. Schlesinger Jr. Research Fellowship,John F. Kennedy Presidential Library and Museum,To support scholars who need to use the archival holdings of the JFK Library.,N/A,Fellowship,"$5,000",September
Atlas Shrugged Essay Contest,Ayn Rand Institute,To encourage students to use and practice their writing skills through essay contests.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School",Prize,"$25,000",September
Ayn Rand Institute Fountainhead Essay Contest,Ayn Rand Institute,To support and help high school students for the best essay on Ayn Rand's fiction.,High School,Prize,"$25,000",September
Be A Friend Project Scholarship,Be A Friend Project,"Do you have a great idea to put an end to bullying? In 500 words or more, design a ""bullying prevention and kindness"" initiative that you believe would have a positive and measurable impact on ending bullying in your school or community. Propose actionable steps that could be peer-implemented to cultivate a safer, more empathetic and inclusive environment. Consider the importance of your peers (and administration) to believe in and support your plan, and any possible costs. Your perspective and insight as a teenager and a student is key.",High School,Scholarship,$500,September
Be More Fund,National Society of High School Scholars,"To provide financial support to NSHSS members and educators aspiring to world betterment through an established product, passion project, or nonprofit.",Bachelor's Degree,Scholarship,"$10,000",September
Benign Essential Blepharospasm Research Foundation Research Grants,Benign Essential Blepharospasm Research Foundation,"To support research into causes, cures, and treatment for blepharospasm. The BEBRF provides funding for research projects through an annual call for proposals for research.",Graduate Degree,Grant,"$100,000",September
Benjamin Franklin Trust Fund,First Community Foundation Partnership of Pennsylvania,"Seeks to support programs and services that work to increase knowledge and/or quality of life that inspire positive outcomes for individuals and families living in the Cumberland, Dauphin, Franklin, Juniata, Mifflin, Lebanon, and Perry Counties and the Dillsburg area of York County.",N/A,Grant,N/A,September
Blake-Nuttall Fund Grants,Nuttall Ornithological Club,"To support ornithological research, conservation, and education, with particular emphasis on the birds of New England and the Northeast.",N/A,Grant,"$1,000
$5,000",September
Booksrun Scholarship Financial Aid,Booksrun LLC,"To help gifted, diligent, and hard working students reduce the enormous costs for a chance of obtaining a higher education.","Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",September
Brian Cummins Memorial Scholarship,National Federation of the Blind of Connecticut,To provide scholarship for college junior or senior or graduate students enrolled in a full-time program to teach blind and visually impaired students in Connecticut.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,500",September
Bush Fellowship,Bush Foundation,To support and develop more leaders who are better equipped and better networked to effectively lead change.,N/A,Fellowship,"$100,000",September
Candia Baker Laughlin Certification Scholarship,American Academy of Ambulatory Care Nursing,"To cover the exam fee, study materials, and other expenses related to achieving certification.",Bachelor's Degree,Scholarship,"$1,000",September
CANS/SNRS Dissertation Research Grant,Southern Nursing Research Society,To support doctoral students in the Southern region enrolled in research-focused programs as they initiate a program of nursing research to advance nursing science and practice.,"Bachelor's Degree
Graduate Degree",Grant,"$5,000",September
Career Awards at the Scientific Interface (CASI),Burroughs Wellcome Fund,To recognize the vital role cross-trained scientists will play in furthering biomedical science.,"Bachelor's Degree
Graduate Degree",Grant,"$500,000",September
Career Awards for Science and Mathematics Teachers,Burroughs Wellcome Fund,To recognize teachers who have demonstrated solid knowledge of science and/or mathematics content and have outstanding performance records in educating children.,N/A,Prize,"$175,000",September
Caroline M. Hewins Scholarship,Hartford Public Library,To support students planning to specialize in library work with children.,"Bachelor's Degree
Graduate Degree",Scholarship,"$4,000",September
Catherine Macaulay Prize,American Society for Eighteenth-Century Studies,To recognize student's paper in the field of feminist and gender studies.,Graduate Degree,Prize,$500,September
CHRGJ Human Rights Scholars Program,"Center for Human Rights and Global Justice
New York University School of Law","To encourage and facilitate independent student academic research, writing and publications related to the Center's theme.",Graduate Degree,Scholarship,N/A,September
Claes Nobel Academic Scholarships,National Society of High School Scholars,To support the education of student members.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000
$5,000",September
Clay Postdoctoral Fellowship,Harvard-Smithsonian Center for Astrophysics,"To provide the mission of the Clay Postdoctoral Fellowship program is to support innovative astrophysics research by offering to the next generation of developing independent researchers full access to the unique facilities, research staff and resources o",Professional Development,Fellowship,"$16,000
$69,000",September
Colonel Theodore A. Leisen Memorial and Training Endowment Fund,Nebraska Section American Water Works Association,To encourage water industry professionals to obtain additional training and encourage graduate students to choose the water industry as their field of work.,Graduate Degree,Grant,$500,September
CompHealth Medical Scholarship,CompHealth,CompHealth wants to help up and coming physicians by providing a scholarship for medical and pre-med students.,"Bachelor's Degree
Graduate Degree",Scholarship,"$5,000",September
Creative Glass Fellowship Program,Creative Glass Fellowship Program,To offer direct support to emerging and mid-career artists who work with glass.,N/A,Fellowship,N/A,September
CTFS-ForestGEO Research Grants Program,"Center for Tropical Forest Science - ForestGEO
Smithsonian Tropical Research Institute",To provide opportunities for graduate students and early-career researchers to use existing forest dynamics Sites to conduct research in collaboration with scientists currently associated with these sites.,"Graduate Degree
Professional Development",Grant,"$15,000",September
CTP Scholarship Program,National Private Truck Council,To promote continuous learning and professional development by providing financial aid for individuals lacking the necessary corporate funding to pursue the CTP designation.,N/A,Scholarship,N/A,September
Daland Fellowships in Clinical Investigation,American Philosophical Society,"To provide financial support for research in the several branches of clinical medicine, including internal medicine, neurology, pediatrics, psychiatry and surgery.","Graduate Degree
Professional Development",Fellowship,"$40,000",September
Dance Individual Project Funding,Alberta Foundation for the Arts,"To support the development of individual Alberta artists, arts administrators or an ensemble of artists by providing a grant from a specific dance project in a limited time period.",Professional Development,Grant,"$15,000",September
David H. Smith Conservation Research Fellowship,Society for Conservation Biology,"To create opportunities for leading conservation scientists to strengthen their skills through two years of applied post-doctoral research, supplemented by training programs, peer networking, and field learning experiences.",Professional Development,Fellowship,"$8,000
$32,000
$57,000",September
Defensive Driving Scholarship,DefensiveDriving.com,To supply college students with funds to pay for their school.,"Bachelor's Degree
High School",Scholarship,"$1,000",September
Don't Text and Drive Scholarship,Digital Responsibility,,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$500
$1,500",September
Dr. Elemer and Eva Kiss Scholarship Fund,Hungarian American Coalition,To provide partial annual scholarships to Hungarian students to pursue studies at U.S. colleges and universities.,Bachelor's Degree,Scholarship,"$1,000",September
Edilia and François Auguste de Montêquin Fellowships,Society of Architectural Historians,"To provide support for travel related to research on Spanish, Portuguese, or Ibero-American architecture.",Graduate Degree,Fellowship,"$2,000
$6,000",September
Equal Justice Works Fellowships,Equal Justice Works,To support qualified and passionate lawyers in developing new and innovative legal projects that can impact lives and serve communities in desperate need of legal assistance.,Graduate Degree,Fellowship,N/A,September
ETS/CGS Award for Innovation in Promoting Success in Graduate,Council of Graduate Schools,To support institutional changes that result in enhancing student success from admission though completion of programs at the master’s or doctoral level.,Graduate Degree,Prize,"$20,000",September
Family Adversity Scholarship,Yates & Wheland,"As lawyers, we have served many individuals who have been in hard situations, and we know how stressful it can be during those times. We admire people who are able to learn and improve when faced with struggles. That’s why we are offering the Family Adversity Scholarship to recognize students who have been through hard times with their families and have come out the other side a better person.
The attorneys at Yates & Wheland are pleased to share The Family Adversity Scholarship! This scholarship was created to help students who have gone through hard times with their families and have worked hard to stay dedicated to pursuing their education. the applicant that best answers the prompt will be awarded a $1000 scholarship to help them pursue higher education. For more information and to apply, please visit the scholarship page.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",September
Feeding Hope Fund for Clinical Research Grants,National Eating Disorders Association,"To support encourage applications from eligible individuals from groups that have been shown to be underrepresented in the biomedical, behavioral, social and clinical sciences.",N/A,Grant,"$50,000
$100,000",September
Fields Research Fellowship,Fields Institute,To supports individuals with a high potential of resuming an active research career after an interruption.,Professional Development,Fellowship,"$3,500",September
First Responders Scholarship,McCraw Law Group,To assist students who are first responders or family members of first responders.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",September
First Responders Scholarship,McCraw Law Group,"First responders are at the front lines of traumatic injuries and devastating emotional pain and suffering every day. Unfortunately, these heroes often don’t receive the recognition they deserve or emotional treatment they may need. First responders answer the call for help no matter the circumstances, time, location, or situation of an emergency. Some of us would not be here if it were not for the brave actions of a first responder. Through natural disasters, fires, and acts of terror, these men and women run towards danger while others flee. Sacrifice is a common word to describe the life of a first responder, their friends, and their families. Some make the ultimate sacrifice of laying down their own lives in the pursuit of saving someone else’s. Here at McCraw Law Group, we support, and respect these courageous people, and would like to honor them with this scholarship.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$1,000",September
Florida Fertilizer and Agrichemical Association Scholarships,Florida Fertilizer & Agrichemical Association,To promote the study of agriculture in higher education and to encourage academic excellence among students pursuing agriculture studies.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,September
Flow Feet Foot the Bill Scholarship,Flow Feet Orthopedic Shoes,To provide shoes that provide relief to people that have foot conditions that cause pain or discomfort.,Associate Degree,Prize,$500,September
Follicular Lymphoma Pathways Grant,Lymphoma Research Foundation,To fund follicular lymphoma research that includes the study of primary FL patient samples and incorporates collaborative interactions between/among investigators in different disciplines and/or different institutions.,Professional Development,Grant,N/A,September
ForestGEO Research Grants,Smithsonian Tropical Research Institute,"To provide opportunities for senior researchers, postdoctoral fellows and graduate students to use existing CTFS plots to conduct research with scientists affiliated with them.","Graduate Degree
Professional Development",Grant,"$15,000",September
FormsBirds Scholarship,Formsbirds.com,To help outstanding students to complete their college education.,Bachelor's Degree,Scholarship,$500,September
Fruits and Vegetable Industries Scholarships,Michigan State Horticultural Society,To support students who intend to pursue careers in the Midwest fruit and vegetable industries.,Bachelor's Degree,Scholarship,"$1,500",September
Gates Scholarship,Bill and Melinda Gates Foundation,"To assist outstanding, minority high school seniors from low-income households who plan to pursue postsecondary education.",Bachelor's Degree,Scholarship,N/A,September
George J. Mitchell Scholarship,US-Ireland Alliance,"To introduce and connect generations of future American leaders to the island of Ireland, while recognizing and fostering intellectual achievement, leadership, and a commitment to public service and community.",Professional Development,Scholarship,N/A,September
GuildScholar Awards,Lighthouse Guild International,To assist blind high school students to pursue college.,Bachelor's Degree,Scholarship,"$15,000",September
Hawaiian Financial Federal Credit Union Scholarship Program,Hawaiian Financial Federal Credit Union,To encourage HIFICU members or their dependents to pursue higher education at any two- or four-year accredited college or university in the United States of America.,"Associate Degree
Bachelor's Degree",Scholarship,"$1,000",September
Health is a Right Not a Privilege Scholarship,NursingProcess.org,To encourage a deserving nurse to go into advanced practice nursing either to become a nurse practitioner or a nurse anesthetist.,"Bachelor's Degree
Graduate Degree
Professional Development",Scholarship,"$1,500",September
Hillel Einhorn New Investigator Award,Society for Judgment and Decision Making,To encourage outstanding work by new researchers.,"Graduate Degree
Professional Development",Prize,N/A,September
HNBA VIA Fund General Law School Scholarships (LEF),Hispanic National Bar Association,To provide financial assistance to law students within the US Hispanic community.,Graduate Degree,Scholarship,"$2,500",September
HostingAdvice.com Future Web Developers Annual Scholarship,HostingAdvice.com,To support development in the IT sector.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000",September
HRET Health Career Scholarships,New Jersey Hospital Association,To encourage and enable New Jersey residents to pursue health careers.,"Bachelor's Degree
Professional Development",Scholarship,"$2,500",September
IAAI Foundation Training Scholarship,International Association of Arson Investigators,To provides financial assistance to selected applicants to enhance their education in the fire/explosion investigation profession by attending the IAAI International Training Conference or other select IAAI training events.,Professional Development,Scholarship,"$1,000",September
IARSLCE Graduate Student Scholarships,International Association for Research on Service-Learning and,To support students in their participation in the IARSLCE Conference.,Graduate Degree,Scholarship,$500,September
Immerse Education University Scholarship,Immerse Education,To engage and secure the future of young professionals and provide opportunities for all students in all fields of academia.,Bachelor's Degree,Scholarship,"$500
$1,000",September
Immigrant Innovation Scholarship,Ritchie-Reiersen Injury & Immigration Attorneys,"Ritchie-Reiersen Injury & Immigration Attorneys is pleased to announce its 2022 Immigrant Innovation Scholarship! This is a $1,000 scholarship for students passionate about immigration and the entrepreneurial path. To learn more about this opportunity, visit the scholarship page.","Associate Degree
Bachelor's Degree
Graduate Degree
High School
Vocational",Scholarship,"$1,000",September
Immigrant Innovation Scholarship,Ritchie-Reiersen Injury & Immigration Attorneys,To provide scholarship for students who are passionate about improving the lives of immigrants and making life easier for immigrant entrepreneurs.,"Bachelor's Degree
Graduate Degree
High School
Vocational",Scholarship,"$1,000",September
Informatics Post Doctoral Fellowships,Pharmaceutical Research and Manufacturers of America Foundation,To support the post doctoral career development of individuals preparing to engage in research that will bridge the gap between experimental and computational approaches in genomic and biomedical studies.,Graduate Degree,Fellowship,"$40,000",September
Informatics Pre Doctoral Fellowships,Pharmaceutical Research and Manufacturers of America Foundation,To promote the use of informatics in an integrative approach to the understanding of biological and disease processes.,Graduate Degree,Fellowship,"$20,000",September
Informatics Sabbatical Fellowships,Pharmaceutical Research and Manufacturers of America Foundation,To enable faculty with active research programs to work outside of their home institutions for periods of six months to one year to learn new skills or develop new collaborations that will enhance their research and research training capabilities in informatics.,"Graduate Degree
Professional Development",Fellowship,"$40,000",September
International Law and Human Rights Fellowship Program,"Center for Human Rights and Global Justice
New York University School of Law","To provide the opportunity to complete a specialized training program in international law, undertake a summer internship at a leading institution or organization, and complete a substantial research paper growing out of that work experience.",N/A,Fellowship,N/A,September
Jacob K. Javits Fellowships Program,"Office of Postsecondary Education
U.S. Department of Education","To provide fellowships to students of superior academic ability to undertake study at the Doctoral and Master of Fine Arts level in selected fields of arts, humanities, and social sciences.",Graduate Degree,Fellowship,N/A,September
John Simon Guggenheim Memorial Fellowships - United States &,John Simon Guggenheim Memorial Foundation,To support individuals in their respective research and artistic creations.,"Bachelor's Degree
Graduate Degree
Professional Development",Fellowship,N/A,September
Kappa Delta Phi Scholarship,American Occupational Therapy Foundation,To support students enrolled in a occupational therapy assistant programs.,"Graduate Degree
Professional Development",Scholarship,N/A,September
Keepers Preservation Education Fund Fellowship,Society of Architectural Historians,To provide support to students in Historic Preservation to attend the annual meeting.,Graduate Degree,Fellowship,"$1,000",September
Kevin Freeman Travel Grant,Music Library Association,To support travel and accommodation expenses for attendees of the MLA annual meeting.,"Graduate Degree
Professional Development",Grant,N/A,September
Kluge Fellowships,John W. Kluge Center at the Library of Congress,To encourages humanistic and social science research that makes use of the Library's large and varied collections.,"Graduate Degree
Professional Development",Fellowship,"$5,000",September
Leif and Inger Sjöberg Award,The American-Scandinavian Foundation,To provide for an individual whose literature translations from a Nordic language.,Professional Development,Prize,"$2,000",September
Letitia Moore Charitable Trust Scholarship,York Art Association,To support students majoring in art or art history.,Bachelor's Degree,Scholarship,N/A,September
Literary Individual Project Funding,Alberta Foundation for the Arts,"To support the development of individual Alberta artists, arts administrators or an ensemble of artists by providing a grant for a specific literary arts project in a limited time period.",Professional Development,Grant,"$15,000",September
Lola Fehr: Nightingale Scholarships,Colorado Nurses Foundation,To provide scholarships for qualified nursing students from both rural and urban settings.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,September
Low Family Scholarship,National Asian Pacific American Bar Association,To help students pursue law degrees.,N/A,Scholarship,"$2,500",September
Lung Cancer Discovery Award (LCD),American Lung Association in the District of Columbia,"To support independent investigators conducting clinical, laboratory, epidemiological or any groundbreaking project aimed at revolutionizing our current understanding of lung cancer and improving diagnostic, clinical and treatment methods.",N/A,Prize,"$100,000",September
Lycoming County Medical Society Scholarship,Foundation of the Pennsylvania Medical Society,To provide scholarship for medical students who are residents of Lycoming County.,"Bachelor's Degree
Graduate Degree",Scholarship,"$3,000",September
"Mailcheck Scholarship $1,500",OSA Management LLP,To cover expenses for studying or just self-development.,Bachelor's Degree,Scholarship,"$1,500",September
Make a Difference Scholarship,Matthew Wilson Attorney at Law,"Matthew Wilson Attorney at Law is excited to offer the 2022 Make a Difference Scholarship! For this opportunity, applicants will share their dream and how they plan to make it a reality. Students should discuss the motivations behind their dream and how pursuing it will help create a meaningful impact on the world. To learn more about this scholarship opportunity and apply, please visit the Make a Difference Scholarship page.","Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000",September
Mantle Cell Lymphoma Therapeutic Studies Grant,Lymphoma Research Foundation,To accelerate the pace of research in mantle cell lymphoma (MCL).,Professional Development,Grant,N/A,September
Margaret A. Dankworth Management Scholarship,Association of Zoos and Aquariums,To support and assist AZA members with their chosen course that led them to demonstrate leadership ability or leadership potential and a commitment to professional growth.,Professional Development,Scholarship,N/A,September
Marjorie Kovler Research Fellowship,John F. Kennedy Presidential Library and Museum,To support a student in the production of a substantial work in the area of foreign intelligence and the presidency or a related topic.,N/A,Fellowship,"$2,500",September
Markley Scholarship,National Association for Campus Activities,To recognize and honor involved students who have made significant contributions to the NACA Central Region.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,September
Mary Minglen Scholarship,American Occupational Therapy Foundation,To support students enrolled in a occupational therapy assistant programs.,"Graduate Degree
Professional Development",Scholarship,"$1,200",September
